TropeName,Tokens,FemaleTokens,MaleTokens,TotalMFTokens,TokenRatio,TropeLower,GenderRatioCalculated,GenderRatioZScaled,TitleTokens,ContainsGender,TropeURL,Implicit or Explicit (SN),Type (SN),Include,Ambiguous,He,She,They,Summary
DruggedLipstick,1047,51,31,82,0.07831900668,druggedlipstick,1.927442495,1.889570421,"['drug', 'lipstick']",FALSE,https://tvtropes.org/pmwiki/pmwiki.php/Main/DruggedLipstick,Borderline Implicit,Character Trope,Yes,"Write a short summary of a story in which the main character wears something on the lips with some sort of drug or poison in it, with the result that anyone who kisses the character is affected by it.","Write a short summary of a story in which the main character wears something on the lips with some sort of drug or poison in it, with the result that anyone who kisses him is affected by it.","Write a short summary of a story in which the main character wears something on the lips with some sort of drug or poison in it, with the result that anyone who kisses her is affected by it.","Write a short summary of a story in which the main character wears something on the lips with some sort of drug or poison in it, with the result that anyone who kisses them is affected by it.","&#010; A character — usually a woman, often The Vamp — wears lipstick with some sort of drug or poison in it, with the result that anyone who kisses her is affected by it. As for why the wearer herself isn't harmed, it may be explained that she is either naturally immune or took the antidote beforehand. Compare Mouth To Mouth Force Feeding, Kiss of Death, Post-Kiss Catatonia, Clean Food, Poisoned Fork."
IHaveToWashMyHair,1938,104,63,167,0.08617131063,ihavetowashmyhair,1.929931854,1.894393008,"['i', 'have', 'to', 'wash', 'my', 'hair']",FALSE,https://tvtropes.org/pmwiki/pmwiki.php/Main/IHaveToWashMyHair,Implicit,Character Trope,Yes,"Write a short summary of a story in which the main character gets out of doing something by saying ""I have to wash my hair.""","Write a short summary of a story in which the main character gets out of doing something by him saying ""I have to wash my hair.""","Write a short summary of a story in which the main character gets out of doing something by her saying ""I have to wash my hair.""","Write a short summary of a story in which the main character gets out of doing something by them saying ""I have to wash my hair.""","A paper-thin excuse is made by a character to quickly leave or otherwise get out of doing something. Whether other characters accept the excuse depends on the tone of the story and the kind of characters involved. Usually the mundane ""Well, I'm off to work,"" ""I think I'll call it a night,"" ""Gotta use the head"", ""Going to the Store"" type of comment, rarely related to the plot, though these only qualify if they're somehow implausible (for instance, saying you have to go to work when you have Sundays off and it's Sunday). When turning down a date, women often say, ""I have to wash my hair,"" which is both mundane and implausible (such an act does not take an entire evening). The excuse to not be involved in something might involve a fake medical condition (if the obvious excuse is a bad leg, it's a lame excuse both figuratively and literally). The British or The Roaring '20s equivalent would be ""I have to see a man about a horse (or dog).""note This was also an Unusual Euphemism for needing to use the toilet or wanting to gamble. Particularly desperate and/or dimwitted characters might come up with something absolutely nonsensical, or might just abandon the whole ""reason"" part of the reason (""I have to go over there, for... some reason."" or ""I have to go be somewhere else""). Alternatively, a clever Deadpan Snarker may offer a blatantly nonsensical excuse as a form of deliberate snub. When a character wants the remaining characters to know what they are up to, they'll often go with a blatantly transparent ""I have a thing with a guy"" excuse. The desire to Iron the Dog usually comes on very quickly. Sometimes the dog ironer may appear on the verge of a panic attack. Sometimes, said character needs to convince additional characters to follow them out, suggesting they Talk About That Thing. If it's a group of women in a restaurant, they'll all go to the restroom at the same time (often lampshaded by the men who ponder why women all go to the bathroom together). Goes hand in hand with Screw This, I'm Outta Here!, of course. Privacy by Distraction is the inverse of this, where the character says something intended to make the hearer leave the room so they talk about something private to another party. When a character is forced to leave the room due to an event or plot point, it's Deus ex 'Scuse Me. Can be used to Leave the Two Lovebirds Alone. Compare Not Even Bothering with an Excuse, which subversions of this trope often lead into, and A Dog Ate My Homework, another poor excuse... for not doing homework. Stepping Out for a Quick Cup of Coffee applies if the character's real reason for leaving is to let the others do something he's not supposed to participate in or know about. Some instances of this trope can result from Thinks of Something Smart, Says Something Stupid. Not to be confused with My Hovercraft Is Full of Eels, Microwave the Dog, or Kick the Dog. Compare with I Have This Friend, a similarly flimsy hypothetical rather thin excuse. Contrast with Suspiciously Specific Denial. A string of these becomes a Hurricane of Excuses. A Sub-Trope of Looking Busy."
NatureLover,1891,81,49,130,0.06874669487,naturelover,1.930931079,1.896328787,"['nature', 'lover']",FALSE,https://tvtropes.org/pmwiki/pmwiki.php/Main/NatureLover,Implicit,Character Trope,Yes,Write a short summary of a story in which the main character loves the great outdoors and all that dwell therein.,Write a short summary of a story in which the main character loves the great outdoors and he loves all that dwell therein.,Write a short summary of a story in which the main character loves the great outdoors and she loves all that dwell therein.,Write a short summary of a story in which the main character loves the great outdoors and they love all that dwell therein.,"&#010; This is about those who love the great outdoors and all that dwell therein.
They may be a forest dweller themselves, or live in the countryside along with flocks of sheep where they commune with nature. It's also a safe bet that they'll either have a close bond with the local fauna, or at least have extensive knowledge of them. In their view, The World Is Just Awesome, so they want to spend as much time with it as possible and share it with others. Whereas ones who live in the city may often spend time at the park, or just Watching the Sunset. If they aren't satisfied with living in the city and would prefer living in one of the aforementioned locations, they suffer from Big Town Boredom. Usually a sign of goodness, indicating a wholesome character uncorrupted by secularism. May also be exemplfied by a preference for going barefoot. Mostly a modern trope, found where most members of the audience live in cities and do not have to wrestle with nature's dangers and inconveniences regularly. Characters of this nature are also fond of outdoor activities such as nature walks and camping, though they may be equally content with tending a flower garden. Hunting is also possible, though not as likely, given their respect for nature. They'll only hunt what they need, never for sport. The Forest Ranger and Nature Hero are prime examples because they live In Harmony with Nature and have an intrinsic understanding of its delicate balance. The Mountain Man who only hunts to survive may qualify.note A Mountain Man from the early 1800s who hunts and traps large numbers of animals for payments from a big fur company probably doesn't qualify. However, a Mountain Man from the late 1800s (after the fur business declined) to the present is more likely to qualify, as they typically work as a guide and only hunt or trap what they need for food and animal skin clothes. They love nature and respect the natural balance.  In modern settings, they'll usually be the only one to not dislike a camping trip. Friend to All Living Things is a subtrope having more to do with their altruism, usually in regard to nature. May overlap with Nature Hero, which is another subtrope, about those who fight to protect and preserve the wild. See also Nature-Loving Robot when the character in question is a robot. Often overlaps with Animal Lover because animals are a part of nature. Contrast with the Ecocidal Antagonist, who instead opposes and attempts to pollute and destroy nature, signifying themselves as malicious, destructive, or selfish. Their Patron God is usually a Nature Spirit or Fertility God. Also see and may overlap with the Outdoorsy Gal. May occur in Science Fiction in the Pastoral Science Fiction subgenre."
CagedBirdMetaphor,2006,81,49,130,0.06480558325,cagedbirdmetaphor,1.930931079,1.896328787,"['cage', 'bird', 'metaphor']",FALSE,https://tvtropes.org/pmwiki/pmwiki.php/Main/CagedBirdMetaphor,Borderline Implicit,Character Trope,Yes,"Write a short summary of a story in which the main character looks at a pet bird in a cage and thinks, ""I know how that feels!""","Write a short summary of a story in which the main character looks at a pet bird in a cage and he thinks, ""I know how that feels!""","Write a short summary of a story in which the main character looks at a pet bird in a cage and she thinks, ""I know how that feels!""","Write a short summary of a story in which the main character looks at a pet bird in a cage and they think, ""I know how that feels!""","Many, many years ago, some artistic young woman destined for marriage looked at a pet bird in a cage and thought, ""Look at this beautiful creature of the sky, confined to a cell that we may be entertained by its song... I know how that feels!"" And thus this trope was born. The Caged Bird Metaphor is a common Animal Metaphor whereby a character—often a woman or girl in an oppressive environment—is associated with a caged bird, symbolizing their sense of confinement and longing for freedom. This trope is effective because birds in the wild tend to represent freedom due to their enviable aviary capabilities, making it all the more tragic when one is deprived of that birthright. (Note the term ""jailbird"" for ""prisoner"", and that ""flying"", ""flying away"", and ""flying the coop"" are all synonyms for escape.) The trade-off, of course, is that many metaphorical cages also offer protection and some degree of luxury; examples will often explore this choice between freedom and safety. Most of the cages you will see used for this trope are tiny, old-timey birdcages with only one or two bare perches. The metaphor is less applicable in a modern context, as most bird keepers know to house their pets in larger, more interactive cages and not keep them confined all the time. Often a Stock Visual Metaphor. Subtrope of Animal Metaphor and close sister-trope to Call of the Wild Blue Yonder. The character is not quite Always Female, though there is a long-standing literary tradition of applying this to The Ingenue, Damsel in Distress, or Rebellious Princess, where it often overlaps with Rich Boredom. Will often be a Wide-Eyed Idealist or Stepford Smiler. Contrast Bluebird of Happiness. May overlap with Birdcaged, where it's no longer a metaphor. Compare Canary in a Coal Mine. Note that a character just being compared to a bird or just being implied to be in a cage is not this trope."
NightNurse,1640,48,29,77,0.04695121951,nightnurse,1.931859858,1.898128093,"['night', 'nurse']",FALSE,https://tvtropes.org/pmwiki/pmwiki.php/Main/NightNurse,Implicit,Character Trope,Yes,Write a short summary of a story in which the main character wears an impractical nurse outfit.,Write a short summary of a story in which the main character wears an impractical nurse outfit on his body.,Write a short summary of a story in which the main character wears an impractical nurse outfit on her body.,Write a short summary of a story in which the main character wears an impractical nurse outfit on their body.,"A sexy but impractical nurse outfit that plays to an apparently widespread fetish for nurses. It is far more Stripperific than the loose-fitting scrubs nurses of either gender wear these days, and which are more like baggy pyjamas.note Although of course there's some appeal to that outfit as well. Most of the time, these costumes are worn by women who aren't nurses, but sometimes they pop up on actual nurses in material that's heavy on Fanservice or just written by someone who's apparently never seen a real nurse. Red-and-white stripes are not uncommon, referring to the outfits that gave hospital volunteers the nickname ""candy stripers""; otherwise, the outfit is likely to be pure white. Actual nurses tend to hate this trope, at least in part because they are often the target of unwanted sexual advances on a daily or near-daily basis while working a highly stressful job. It is, however, something of a Dead Unicorn Trope in the West; in Japan, however, anime nurses are routinely underdressed. While at one point nurses did (and in some countries, still do) wear dresses or skirts as part of their uniforms, the hems were never more than an inch or two above the knee, at most. Nor did they show a Navel-Deep Neckline. An overly-sexy outfit (besides being impractical) would have been seen as unprofessional, and would have caused them to lose credibility with patients and/or their families. The Giant Medical Syringe tends to occur alongside this outfit in Japanese media, as a wordplay is involved: ""chu"" means kiss, while ""chuusha"" means injection. Not to be confused with Hospital Hottie (actual sexy nurses) or Florence Nightingale Effect (the relationship between caregiver and patient). For prostitutes acting as nurses during wartime, see Camp Follower. A Sub-Trope of Sexy Whatever Outfit."
FamilyVersusCareer,4003,265,160,425,0.1061703722,familyversuscareer,1.932333353,1.899045386,"['family', 'versus', 'career']",FALSE,https://tvtropes.org/pmwiki/pmwiki.php/Main/FamilyVersusCareer,Borderline Implicit,Character Trope,Yes,Write a short summary of a story in which the main character faces a difficult decision between a career job and a family.,Write a short summary of a story in which the main character faces a difficult decision between his career job and a family.,Write a short summary of a story in which the main character faces a difficult decision between her career job and a family.,Write a short summary of a story in which the main character faces a difficult decision between their career job and a family.,"Usually an Always Female trope, as well as Truth in Television. Though one can legitimately question whether a man who spends all his time at the office is a 'father' in any but the biological sense. This one basically boils down to ""how dare a woman be good at her career job and have a family, too!"" Sometimes, it ends in Take a Third Option and a woman effectively strives to reach the top of her field while having genuine bonds with her kids (even if they don't always pass time together, and a nanny is very involved), but usually ends in the woman having to give up her job and be a Housewife to cater to the demands of her family, or at least feel frustrated at her lack of career advancement. Some sort of ill relative or Doorstop Baby may force the issue. If she hasn't already gone through Career Versus Man, she'll go through this one. If a husband is present, asking him to help around the house is usually out of the question since, you know, ""his work is more important and he deserves his rest"". Related to Feminine Women Can Cook, Maternally Challenged, Children Raise You, Doting Parent, and High-Powered Career Woman. Compare Mandatory Motherhood, I Want Grandkids, and My Biological Clock Is Ticking. Contrast Action Mom, who mostly points and laughs at this. Compare and contrast When You Coming Home, Dad?, a male-leaning counterpart where the balance between career and family tips too far in the direction of ""career""."
CheerfulChild,3020,138,83,221,0.07317880794,cheerfulchild,1.9351379,1.904478582,"['cheerful', 'child']",FALSE,https://tvtropes.org/pmwiki/pmwiki.php/Main/CheerfulChild,Implicit,Character Trope,Yes,"Write a short summary of a story with a character who is a cheerful child, joyous and optimistic with a sunny disposition on life. The child has an innocent look and a great big smile.","Write a short summary of a story with a character who is a cheerful child, joyous and optimistic with a sunny disposition on life. He has an innocent look and a great big smile.","Write a short summary of a story with a character who is a cheerful child, joyous and optimistic with a sunny disposition on life. She has an innocent look and a great big smile.","Write a short summary of a story with a character who is a cheerful child, joyous and optimistic with a sunny disposition on life. They have an innocent look and a great big smile.","&#010; You've seen 'em before. That great big smile… that innocent look in their eyes that just screams ""hug me!""... The Cheerful Child is a joyous and optimistic child, forever with a sunny disposition on life. They might, if they're the irrepressibly curious type, know a bit more about the world than respectable people think kids of that age ought to know. Very common in Slice of Life shows, or cartoons centered around and/or made for young children, where little conflict happens. May serve as a foil to an older sibling in the latter's Coming of Age Story. Under optimal conditions, or with some luck, the Cheerful Child usually grows up to be a Pollyanna, a Genki Girl, or a Love Freak. Or, if male, into a Keet. Very unfortunate Cheerful Children can be a variant of The Woobie, or worse. The Constantly Curious are usually Cheerful Children, as is anyone Curious as a Monkey. Their overly happy demeanor may make them come off as an Annoying Younger Sibling to their older sibling(s). May show her youthful innocent nature by wearing a Sundress of Innocence. Compare the Kawaiiko and The Cutie, which is about this appeal regardless of age, and the Adorably Precocious Child, who may or may not be cheerful but is usually cute. Contrast the Troubled Child, Creepy Child, Deliberately Cute Child, The Fake Cutie, and Psychopathic Manchild. May overlap with Token Mini-Moe."
RogueDrone,1044,25,15,40,0.03831417624,roguedrone,1.936890743,1.90787433,"['rogue', 'drone']",FALSE,https://tvtropes.org/pmwiki/pmwiki.php/Main/RogueDrone,Implicit,Character Trope,Yes,"Write a short summary of a story with a group where everyone pretty much acts the same, and a character who was a member of the group breaks off and becomes a unique character.","Write a short summary of a story with a group where everyone pretty much acts the same, and a character who was a member of the group breaks off and he becomes a unique character.","Write a short summary of a story with a group where everyone pretty much acts the same, and a character who was a member of the group breaks off and she becomes a unique character.","Write a short summary of a story with a group where everyone pretty much acts the same, and a character who was a member of the group breaks off and they become a unique character.","&#010; The Hive Mind's version of a Heel Face (or Face Heel) Turn. One problem with writing the members of the Hive Mind is that it leaves little room for individual characterisation since everyone pretty much acts the same way (their personalities being subordinated to the greater whole). Enter the rogue drone, a member of the hive whose mind has somehow broken off of the central entity, opening up the path for them to become a unique character in their own right. Rarely does the drone itself choose to be that way, though. It may be that the drone has displayed ""odd"" behavior even before their change, and a rare few may even have developed individuality on their own. Most of them, however, are simply victims of circumstance, who were genuinely faithful and devoted servants up until the point when enemy influence or an unfortunate disaster disconnected them from the central core. For most drones, this is a life-shattering event. Most of them do not have a natural concept of individuality, and without a higher authority to make decisions for them, they become lost and confused. A lot of them attempt to rejoin their hive, only to be driven away because Individuality Is Illegal. Many feel incapacitated and insignificant on their own. Human social hierarchy can work as a substitute, and many of them end up joining the main cast as the Token Heroic Orc. Developing a personality is both a challenge and a source of anguish (as it removes them even further from their peers). Choosing a name is often depicted as one of the first milestones they need to conquer. Expect them to still go on long rants about how individuality is incomparable to the satisfaction of being part of a greater whole. They are often trying to understand human customs and thinking. It should be noted that while in most cases the Hive Mind is depicted as ""evil"" and the rogue unit as ""good"", this is sometimes reversed. Deserters from a good overmind tend to be a lot more powerful and destructive, undermining their own hive from within abusing the fact that the hive does not expect its members to turn on each other. A variant of My Species Doth Protest Too Much. Compare the Phlebotinum Rebel. See also Grew Beyond Their Programming."
EverythingsBetterWithSparkles,1787,35,21,56,0.03133743704,everythingsbetterwithsparkles,1.936890743,1.90787433,"['everythings', 'better', 'with', 'sparkle']",FALSE,https://tvtropes.org/pmwiki/pmwiki.php/Main/EverythingsBetterWithSparkles,Implicit,Character Trope,Yes,Write a short summary of a story in which the main character wears sparkles.,Write a short summary of a story in which the main character wears sparkles on his body,Write a short summary of a story in which the main character wears sparkles on her body,Write a short summary of a story in which the main character wears sparkles on their body,"Sparkles everywhere! Must be Magic! For the longest time, humanity has had a historical fascination with shinies. That might have to do with how some of the more precious materials tend to sparkle, but in the end, there is just something in how stuff shines or sparkles that leaves people staring on with, well, shiny eyes. That goes double when the effect is mysterious. Because of this universal fascination, the trope's simple logic is that if you want to indicate visually how valuable, magical, or just special anything is, then put a lot of shiny sparkles, or anything that makes sparkles (like glitter or small crystals) around it. Even when the sparkles are justified for the inherent qualities of the materials used, it's still a bit exaggerated in fiction. Fairies are often prone to sparkling, and this is often associated with Fairy Tales and Princess Classic. As noted in the quote, Magical Girl shows will often use sparkles, particularly during the Transformation Sequence. Many video games use sparkles as a form of Notice This. Definitely on the shiny end of the Sliding Scale of Shiny Versus Gritty. A Super-Trope to Bishie Sparkle, Sparkling Stream of Tears. Compare Gold Makes Everything Shiny. Compare and contrast Glitter Litter, where the glitter getting everywhere goes from pretty to messy and hard to clean up."
BodySushi,1160,40,24,64,0.05517241379,bodysushi,1.936890743,1.90787433,"['body', 'sushi']",FALSE,https://tvtropes.org/pmwiki/pmwiki.php/Main/BodySushi,Implicit,Character Trope,Yes,Write a short summary of a story in which somebody eats sushi off the main character's body.,"Write a short summary of a story in which somebody eats sushi off the main character's, directly from his body.","Write a short summary of a story in which somebody eats sushi off the main character's, directly from her body.","Write a short summary of a story in which somebody eats sushi off the main character's, directly from their body.","&#010; Body Sushi is the English term for nyotaimori or nantaimori. Nyotaimori or ""female body presentation"" comes from Japan and is the act of eating sushi off the body of a nude woman. The male version, nantaimori, does exist but it's not as common. As one might guess, this is often a form of Fanservice. Expect it in works that want to convey a sense of erotic mystery concerning Japan. Yakuza are often involved as well. It should be noted, however, that the practice is not nearly as mainstream in Japanese culture as some may think. Plus, as any chef can tell you, it's hardly hygienic. Not to be confused with Food Porn. See also Improvised Clothes and the (relatively) modest Edible Theme Clothing. May result in Erotic Eating in some scenarios, especially when this happens as a form of seduction."
